"","Date","block","LeakVolume"
"404",2018-01-23,"PG_B4",0
"405",2018-01-23,"PG_B5",0
"406",2018-01-24,"PG_B1",144
"407",2018-01-24,"PG_B2",720
"408",2018-01-24,"PG_B3",24
"409",2018-01-24,"PG_B4",0
"410",2018-01-24,"PG_B5",24
"411",2018-01-25,"PG_B1",48
"412",2018-01-25,"PG_B2",384
"413",2018-01-25,"PG_B3",24
"414",2018-01-25,"PG_B4",0
"415",2018-01-25,"PG_B5",24
"416",2018-01-26,"PG_B1",0
"417",2018-01-26,"PG_B2",480
"418",2018-01-26,"PG_B3",0
"419",2018-01-26,"PG_B4",0
"420",2018-01-26,"PG_B5",24
"421",2018-01-27,"PG_B1",24
"422",2018-01-27,"PG_B2",576
"423",2018-01-27,"PG_B3",0
"424",2018-01-27,"PG_B4",0
"425",2018-01-27,"PG_B5",24
"426",2018-01-28,"PG_B1",72
"427",2018-01-28,"PG_B2",504
"428",2018-01-28,"PG_B3",24
"429",2018-01-28,"PG_B4",0
"430",2018-01-28,"PG_B5",96
"431",2018-01-29,"PG_B1",144
"432",2018-01-29,"PG_B2",288
"433",2018-01-29,"PG_B3",0
"434",2018-01-29,"PG_B4",0
"435",2018-01-29,"PG_B5",0
"436",2018-01-30,"PG_B1",288
"437",2018-01-30,"PG_B2",312
"438",2018-01-30,"PG_B3",0
"439",2018-01-30,"PG_B4",0
"440",2018-01-30,"PG_B5",24
"441",2018-01-31,"PG_B1",312
"442",2018-01-31,"PG_B2",480
"443",2018-01-31,"PG_B3",0
"444",2018-01-31,"PG_B4",0
"445",2018-01-31,"PG_B5",0
"446",2018-02-01,"PG_B1",384
"447",2018-02-01,"PG_B2",408
"448",2018-02-01,"PG_B3",24
"449",2018-02-01,"PG_B4",0
"450",2018-02-01,"PG_B5",24
"451",2018-02-02,"PG_B1",1080
"452",2018-02-02,"PG_B2",576
"453",2018-02-02,"PG_B3",24
"454",2018-02-02,"PG_B4",0
"455",2018-02-02,"PG_B5",0
"456",2018-02-03,"PG_B1",888
"457",2018-02-03,"PG_B2",648
"458",2018-02-03,"PG_B3",24
"459",2018-02-03,"PG_B4",0
"460",2018-02-03,"PG_B5",24
"461",2018-02-04,"PG_B1",672
"462",2018-02-04,"PG_B2",840
"463",2018-02-04,"PG_B3",0
"464",2018-02-04,"PG_B4",0
"465",2018-02-04,"PG_B5",0
"466",2018-02-05,"PG_B1",552
"467",2018-02-05,"PG_B2",1488
"468",2018-02-05,"PG_B3",0
"469",2018-02-05,"PG_B4",0
"470",2018-02-05,"PG_B5",24
"471",2018-02-06,"PG_B1",528
"472",2018-02-06,"PG_B2",1464
"473",2018-02-06,"PG_B3",0
"474",2018-02-06,"PG_B4",0
"475",2018-02-06,"PG_B5",0
"476",2018-02-07,"PG_B1",24
"477",2018-02-07,"PG_B2",1416
"478",2018-02-07,"PG_B3",0
"479",2018-02-07,"PG_B4",0
"480",2018-02-07,"PG_B5",0
"481",2018-02-08,"PG_B1",24
"482",2018-02-08,"PG_B2",1296
"483",2018-02-08,"PG_B3",0
"484",2018-02-08,"PG_B4",0
"485",2018-02-08,"PG_B5",120
"486",2018-02-09,"PG_B1",0
"487",2018-02-09,"PG_B2",1344
"488",2018-02-09,"PG_B3",0
"489",2018-02-09,"PG_B4",0
"490",2018-02-09,"PG_B5",48
"491",2018-02-10,"PG_B1",0
"492",2018-02-10,"PG_B2",1152
"493",2018-02-10,"PG_B3",0
"494",2018-02-10,"PG_B4",0
"495",2018-02-10,"PG_B5",0
"496",2018-02-11,"PG_B1",24
"497",2018-02-11,"PG_B2",1320
"498",2018-02-11,"PG_B3",0
"499",2018-02-11,"PG_B4",0
"500",2018-02-11,"PG_B5",168
"501",2018-02-12,"PG_B1",120
"502",2018-02-12,"PG_B2",1320
"503",2018-02-12,"PG_B3",24
"504",2018-02-12,"PG_B4",0
"505",2018-02-12,"PG_B5",48
"506",2018-02-13,"PG_B1",120
"507",2018-02-13,"PG_B2",1104
"508",2018-02-13,"PG_B3",0
"509",2018-02-13,"PG_B4",0
"510",2018-02-13,"PG_B5",24
"511",2018-02-14,"PG_B1",144
