"","service_point_sn","id.x","min_5_flow","date","MinCons_60"
"439","3004479020",47,0,2017-06-04,4
"440","3004479020",47,0,2017-06-05,4
"441","3004479020",47,0,2017-06-09,4
"442","3004479020",47,0,2017-06-10,3
"443","3004479020",47,0,2017-06-11,1
"444","3004479721",49,5,2016-03-14,6
"445","3004479721",49,6,2016-03-16,6
"446","3004479721",49,6,2016-03-17,6
"447","3004479721",49,6,2016-03-19,6
"448","3004479721",49,6,2016-03-20,6
"449","3004479721",49,6,2016-03-21,6
"450","3004479721",49,6,2016-03-22,6
"451","3004479721",49,6,2016-03-23,6
"452","3004479721",49,6,2016-03-24,6
"453","3004479721",49,0,2016-03-30,2
"454","3004479721",49,0,2016-03-31,1
"455","3004479721",49,0,2016-04-01,1
"456","3004479721",49,0,2016-04-02,6
"457","3004479721",49,6,2016-04-03,6
"458","3004479721",49,6,2016-04-05,6
"459","3004479721",49,5,2016-04-06,6
"460","3004479721",49,5,2016-04-07,6
"461","3004479721",49,6,2016-04-08,6
"462","3004479721",49,6,2016-04-09,6
"463","3004479721",49,6,2016-04-10,6
"464","3004479721",49,6,2016-04-11,6
"465","3004479721",49,6,2016-04-12,6
"466","3004479721",49,6,2016-04-15,6
"467","3004479721",49,6,2016-04-17,6
"468","3004479721",49,6,2016-04-18,7
"469","3004479721",49,6,2016-04-18,7
"470","3004479721",49,6,2016-04-19,6
"471","3004479721",49,6,2016-04-19,6
"472","3004479721",49,6,2016-04-22,6
"473","3004479721",49,6,2016-04-25,6
"474","3004479721",49,6,2016-04-26,6
"475","3004479721",49,6,2016-04-27,7
"476","3004479721",49,6,2016-04-28,7
"477","3004479721",49,6,2016-04-29,7
"478","3004479721",49,6,2016-04-30,6
"479","3004479721",49,6,2016-05-01,7
"480","3004479721",49,6,2016-05-02,6
"481","3004479721",49,6,2016-05-03,6
"482","3004479721",49,6,2016-05-04,7
"483","3004479721",49,6,2016-05-12,7
"484","3004479721",49,6,2016-05-14,6
"485","3004479721",49,6,2016-05-15,6
"486","3004479721",49,6,2016-05-18,6
"487","3004479721",49,6,2016-05-19,6
"488","3004479721",49,6,2016-05-18,6
"489","3004479721",49,6,2016-05-20,7
"490","3004479721",49,6,2016-05-22,7
"491","3004479721",49,6,2016-05-24,7
"492","3004479721",49,6,2016-05-25,7
"493","3004479721",49,6,2016-05-26,6
"494","3004479721",49,6,2016-05-27,6
"495","3004479721",49,6,2016-05-28,6
"496","3004479721",49,6,2016-05-31,6
"497","3004479721",49,6,2016-06-01,7
"498","3004479721",49,6,2016-06-03,7
"499","3004479721",49,6,2016-06-04,7
"500","3004479721",49,6,2016-06-05,7
"501","3004479721",49,6,2016-06-06,7
"502","3004479721",49,6,2016-06-07,7
"503","3004479721",49,6,2016-06-09,7
"504","3004479721",49,6,2016-06-10,7
"505","3004479721",49,6,2016-06-11,7
"506","3004479721",49,6,2016-06-12,7
"507","3004479721",49,6,2016-06-13,7
"508","3004479721",49,6,2016-06-20,8
"509","3004479721",49,6,2016-06-21,7
"510","3004479721",49,6,2016-06-22,8
"511","3004479721",49,6,2016-06-23,7
"512","3004479721",49,7,2016-06-24,8
"513","3004479721",49,6,2016-06-25,7
"514","3004479721",49,7,2016-06-26,7
"515","3004479721",49,7,2016-06-27,7
"516","3004479721",49,7,2016-06-29,7
"517","3004479721",49,7,2016-07-02,7
"518","3004479721",49,7,2016-07-03,8
"519","3004479721",49,7,2016-07-04,8
"520","3004479721",49,7,2016-07-06,8
"521","3004479721",49,7,2016-07-08,8
"522","3004479721",49,7,2016-07-09,8
"523","3004479721",49,7,2016-07-10,8
"524","3004479721",49,7,2016-07-11,8
"525","3004479721",49,7,2016-07-12,8
"526","3004479721",49,7,2016-07-17,8
"527","3004479721",49,7,2016-07-18,8
"528","3004479721",49,7,2016-07-20,8
"529","3004479721",49,7,2016-07-22,8
"530","3004479721",49,7,2016-07-23,8
"531","3004479721",49,7,2016-07-24,8
"532","3004479721",49,7,2016-07-26,8
"533","3004479721",49,7,2016-07-27,8
"534","3004479721",49,8,2016-07-30,8
"535","3004479721",49,7,2016-07-31,8
"536","3004479721",49,7,2016-08-04,8
"537","3004479721",49,8,2016-08-10,8
"538","3004479721",49,7,2016-08-11,8
"539","3004479721",49,7,2016-08-12,8
"540","3004479721",49,7,2016-08-14,8
"541","3004479721",49,7,2016-08-15,8
"542","3004479721",49,8,2016-08-18,8
"543","3004479721",49,8,2016-08-20,9
"544","3004479721",49,7,2016-08-25,9
"545","3004479721",49,8,2016-08-26,9
"546","3004479721",49,8,2016-08-27,9
"547","3004479721",49,8,2016-08-28,8
"548","3004479721",49,8,2016-08-29,8
"549","3004479721",49,8,2016-08-31,9
"550","3004479721",49,8,2016-09-03,9
"551","3004479721",49,8,2016-09-04,9
"552","3004479721",49,8,2016-09-05,9
"553","3004479721",49,8,2016-09-09,9
"554","3004479721",49,8,2016-09-12,9
"555","3004479721",49,8,2016-09-07,9
