"","id_family","pub_cust_id","created_at","is_active"
"135",2223,"007015805905",2018-07-03 11:26:39,TRUE
"136",2396,"008933698964",2018-06-30 15:43:58,TRUE
"137",1810,"008935818511",2017-09-06 20:57:25,TRUE
"138",377,"008920966796",2017-06-09 23:09:22,TRUE
"139",411,"008925003108",2018-06-26 11:05:06,TRUE
"140",1958,"008934437438",2018-06-30 21:45:24,TRUE
"141",1981,"008907614484",2018-06-28 12:12:42,TRUE
"142",2220,"007015802604",2018-07-03 11:43:17,TRUE
"143",73,"008925919444",2017-07-23 14:04:49,TRUE
"144",1962,"007013611003",2018-07-04 12:06:35,TRUE
"145",2264,"007015802000",2018-07-03 11:50:05,TRUE
"146",2400,"008936514366",2018-04-25 18:28:37,TRUE
"147",2268,"007015806413",2018-07-03 14:57:07,TRUE
"148",1953,"008905997469",2018-06-30 19:38:03,TRUE
"149",455,"008923745114",2018-01-24 22:56:59,TRUE
"150",1947,"008914780922",2018-06-27 14:48:25,TRUE
"151",426,"008923827185",2017-07-10 19:30:30,TRUE
"152",56,"008913721976",2017-07-16 11:54:13,TRUE
"153",121,"008902037251",2017-11-27 10:52:44,TRUE
"154",2002,"007013600508",2018-07-06 01:07:43,TRUE
"155",2275,"007015804305",2018-07-06 11:42:21,TRUE
"156",2415,"008936967150",2018-03-17 10:34:05,TRUE
"157",69,"008902525578",2017-06-11 16:35:14,TRUE
"158",1820,"008936312761",2018-01-23 14:49:19,TRUE
"159",34,"008913460617",2017-06-10 15:12:54,TRUE
"160",221,"008927410616",2017-06-13 13:10:14,TRUE
"161",130,"008901630551",2017-12-31 10:36:36,TRUE
"162",444,"008928527889",2017-12-09 17:24:25,TRUE
"163",1951,"008935397243",2018-06-28 12:06:33,TRUE
"164",2231,"008900033401",2018-07-03 14:03:03,TRUE
"165",500,"008924009775",2017-06-22 18:08:15,TRUE
"166",2453,"008937987165",2018-06-30 18:00:05,TRUE
"167",1975,"007013604813",2018-06-29 21:28:58,TRUE
"168",1801,"008935127376",2017-09-30 14:22:23,TRUE
"169",2265,"008901672132",2018-07-01 12:41:49,TRUE
"170",2427,"008937163759",2018-03-17 13:41:51,TRUE
"171",522,"008923769064",2017-08-23 09:02:23,TRUE
"172",2198,"007015804607",2018-07-03 15:13:38,TRUE
"173",520,"008923993763",2018-03-16 18:15:21,TRUE
"174",66,"008901658859",2017-06-09 18:17:28,TRUE
"175",1806,"008935705254",2017-11-15 15:10:28,TRUE
"176",548,"008932365441",2017-06-10 17:09:17,TRUE
"177",348,"008921143411",2018-02-11 22:48:29,TRUE
"178",305,"008928096679",2017-06-13 19:07:39,TRUE
"179",2230,"007015803805",2018-07-03 14:22:12,TRUE
"180",2266,"007015804216",2018-07-03 15:52:32,TRUE
"181",336,"008920892109",2017-06-13 21:54:53,TRUE
"182",1765,"008933692405",2018-07-01 21:54:59,TRUE
"183",2239,"007015803902",2018-07-01 16:46:52,TRUE
"184",447,"008928308280",2017-06-19 14:47:36,TRUE
"185",339,"008921444330",2017-06-10 12:14:16,TRUE
"186",2275,"007015804305",2018-07-03 12:16:49,TRUE
"187",551,"008932657433",2017-06-09 22:39:43,TRUE
"188",81,"008901630585",2017-07-02 22:08:35,TRUE
"189",1814,"008935956659",2017-10-22 17:57:09,TRUE
"190",368,"008920979526",2017-06-17 15:36:55,TRUE
"191",2258,"008902577199",2018-07-04 22:10:59,TRUE
"192",319,"008922054542",2017-06-17 12:33:44,TRUE
"193",2189,"007015807819",2018-07-01 20:45:05,TRUE
"194",402,"008925812078",2017-06-10 15:44:40,TRUE
"195",2280,"007015809803",2018-07-01 15:17:37,TRUE
"196",44,"008901654379",2017-06-10 14:40:05,TRUE
"197",11,"008901891088",2017-08-03 17:04:45,TRUE
"198",33,"008901654395",2017-06-17 11:33:15,TRUE
"199",2260,"008907651460",2018-06-29 21:14:08,TRUE
"200",1998,"007013607626",2018-06-29 16:50:45,TRUE
"201",231,"008927304512",2017-07-19 22:02:36,TRUE
"202",280,"008927644974",2017-06-18 15:51:29,TRUE
"203",87,"008919401722",2017-08-29 21:58:12,TRUE
"204",56,"008913721976",2017-07-03 14:34:36,TRUE
"205",447,"008928308280",2018-03-29 10:41:01,TRUE
"206",297,"008927393044",2017-08-01 13:12:08,TRUE
"207",548,"008932365441",2018-02-05 19:54:50,TRUE
"208",352,"008925195912",2017-09-17 14:13:06,TRUE
"209",284,"008927363690",2017-06-09 21:25:11,TRUE
"210",15,"008913899608",2017-09-30 11:19:57,TRUE
"211",52,"008901678261",2017-06-10 19:47:08,TRUE
"212",496,"008923616570",2017-07-09 10:13:14,TRUE
"213",48,"008917185368",2017-07-21 13:30:22,TRUE
"214",529,"008923574449",2017-10-25 09:00:34,TRUE
"215",216,"008927254485",2017-07-26 00:10:29,TRUE
"216",264,"008927429517",2017-06-10 11:54:26,TRUE
"217",121,"008902037251",2017-10-08 15:17:58,TRUE
"218",189,"008927309198",2017-11-13 11:59:41,TRUE
"219",2200,"007015806804",2018-07-03 16:06:48,TRUE
"220",527,"008923614914",2017-06-11 20:45:43,TRUE
"221",6,"008901704901",2017-07-13 20:24:39,TRUE
"222",121,"008902037251",2017-10-07 19:39:48,TRUE
"223",43,"008917905930",2017-10-11 07:27:29,TRUE
"224",483,"008923647294",2018-02-15 06:17:29,TRUE
"225",80,"008918924252",2017-07-20 20:04:44,TRUE
"226",2249,"007015805107",2017-06-13 09:48:48,TRUE
"227",330,"008931493020",2017-06-15 18:43:32,TRUE
"228",258,"008927326291",2017-09-05 18:41:20,TRUE
"229",2270,"008902247256",2018-07-03 14:37:04,TRUE
"230",174,"008914099562",2018-02-12 23:33:45,TRUE
"231",1806,"008935705254",2018-03-04 13:25:49,TRUE
