"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
1948,"3000855669","SUB","Yuhua",2018-08-28,2018-08-31,4,4,"Moderate","Close","ACTIVE",""
2033,"3003369523","SUB","Yuhua",2018-06-17,2018-06-24,8,1,"Severe","Close","INACTIVE",""
2033,"3003369523","SUB","Yuhua",2018-07-30,2018-08-02,4,1,"Moderate","Close","INACTIVE",""
149,"3004521715","SUB","Punggol",2017-03-08,2017-03-14,7,140,"Critical","Close","INACTIVE",""
418,"3100159755","SUB","Punggol",2018-07-18,2018-07-22,5,1.33,"Severe","Close","INACTIVE",""
1993,"3003366453","SUB","Yuhua",2018-09-13,2018-09-16,4,1,"Moderate","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-09-27,2018-10-03,7,1,"Severe","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-09-09,2018-09-15,7,1,"Severe","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-09-19,2018-09-22,4,1,"Moderate","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-10-11,2018-10-22,12,1,"Severe","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-07-03,2018-07-06,4,1,"Moderate","Close","INACTIVE",""
2055,"3003368424","SUB","Yuhua",2018-07-11,2018-09-03,55,1,"Severe","Close","INACTIVE",""
2454,"3004522045","SUB","Punggol",2018-07-27,2018-07-30,4,1,"Moderate","Close","INACTIVE",""
2454,"3004522045","SUB","Punggol",2018-08-07,2018-08-10,4,1,"Moderate","Close","INACTIVE",""
132,"3004521979","SUB","Punggol",2017-02-04,2017-02-27,24,3.33,"Severe","Close","INACTIVE",""
132,"3004521979","SUB","Punggol",2017-10-14,2018-01-25,104,7.67,"Severe","Close","INACTIVE",""
132,"3004521979","SUB","Punggol",2018-02-05,2018-02-23,19,30.33,"Critical","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2016-03-10,2016-03-13,4,2,"Moderate","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2016-04-01,2016-04-14,14,2.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2016-04-26,2016-10-06,164,9,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-03-15,2017-03-24,10,2.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-04-19,2017-04-24,6,1.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-07-29,2017-08-04,7,2.67,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-08-14,2017-08-24,11,2.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-09-03,2017-09-14,12,2.67,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-09-21,2017-09-28,8,4,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-11-07,2017-11-23,17,3.67,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2017-11-26,2017-12-23,28,1.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2018-01-08,2018-01-15,8,3.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2018-01-18,2018-01-25,8,4.33,"Severe","Close","INACTIVE",""
31,"3004478742","SUB","Punggol",2018-01-28,2018-02-07,11,19.67,"Critical","Close","INACTIVE",""
2451,"3004478658","SUB","Punggol",2018-10-04,2018-10-19,16,4,"Severe","Close","INACTIVE",""
2451,"3004478658","SUB","Punggol",2018-07-14,2018-07-26,13,20,"Critical","Close","INACTIVE",""
2451,"3004478658","SUB","Punggol",2018-08-16,2018-08-23,8,18.33,"Critical","Close","INACTIVE",""
70,"3004479786","SUB","Punggol",2018-08-10,2018-08-13,4,4,"Moderate","Close","INACTIVE",""
2387,"3000727226","SUB","Yuhua",2018-09-30,2018-10-03,4,2,"Moderate","Close","INACTIVE",""
2386,"3000726669","SUB","Yuhua",2018-09-08,2018-09-12,5,1,"Severe","Close","INACTIVE",""
2386,"3000726669","SUB","Yuhua",2018-09-23,2018-10-06,14,1,"Severe","Close","INACTIVE",""
2386,"3000726669","SUB","Yuhua",2018-05-14,2018-05-19,6,1,"Severe","Close","INACTIVE",""
175,"3004522297","SUB","Punggol",2016-05-16,2016-06-08,24,1.67,"Severe","Close","INACTIVE",""
2081,"3000977099","SUB","Yuhua",2018-08-24,2018-10-24,62,3,"Severe","Close","INACTIVE",""
2257,"3003505131","SUB","Yuhua",2018-06-24,2018-06-29,6,3,"Severe","Close","INACTIVE",""
2262,"3003508756","SUB","Yuhua",2018-09-02,2018-09-07,6,1,"Severe","Close","INACTIVE",""
2262,"3003508756","SUB","Yuhua",2018-07-19,2018-07-27,9,1,"Severe","Close","INACTIVE",""
2262,"3003508756","SUB","Yuhua",2018-06-23,2018-08-13,52,4,"Severe","Close","INACTIVE",""
2262,"3003508756","SUB","Yuhua",2018-06-01,2018-06-04,4,4,"Moderate","Close","INACTIVE",""
2249,"3003505641","SUB","Yuhua",2018-09-08,2018-10-10,33,1,"Severe","Close","INACTIVE",""
2249,"3003505641","SUB","Yuhua",2018-04-01,2018-04-08,8,2,"Severe","Close","INACTIVE",""
2249,"3003505641","SUB","Yuhua",2018-07-15,2018-07-24,10,2,"Severe","Close","INACTIVE",""
2249,"3003505641","SUB","Yuhua",2018-07-28,2018-08-21,25,2,"Severe","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2016-12-31,2017-01-05,6,3,"Severe","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2017-02-08,2017-02-14,7,1,"Severe","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2017-02-18,2017-02-22,5,2,"Severe","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2017-03-04,2017-03-13,10,2,"Severe","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2017-04-03,2017-04-06,4,1,"Moderate","Close","INACTIVE",""
35,"3004479927","SUB","Punggol",2017-06-24,2017-06-29,6,1,"Severe","Close","ACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-04-30,2018-05-06,7,1,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-06-25,2018-06-29,5,1,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-07-03,2018-07-07,5,1,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-07-14,2018-07-20,7,1,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-07-30,2018-09-13,46,1,"Severe","Close","ACTIVE",""
301,"3100250306","SUB","Punggol",2017-03-27,2017-03-30,4,1,"Moderate","Close","INACTIVE",""
301,"3100250306","SUB","Punggol",2018-05-18,2018-05-23,6,3.33,"Severe","Close","INACTIVE",""
1987,"3000855655","SUB","Yuhua",2018-06-19,2018-06-22,4,4,"Moderate","Close","INACTIVE",""
2196,"3001095138","SUB","Yuhua",2018-07-10,2018-07-26,17,2,"Severe","Close","ACTIVE",""
2196,"3001095138","SUB","Yuhua",2018-07-21,2018-07-24,4,1,"Moderate","Close","ACTIVE",""
