"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
2017-07-30,"PG_B4",201057,193881,7176,3.6,60599,59775,824,1.4,261656,8000,3.1
2017-07-30,"PG_B5",266027,263247,2780,1,96657,94114,2543,2.6,362684,5323,1.5
2017-07-23,"PG_B1",291135,284051,7084,2.4,94267,91923,2344,2.5,385402,9428,2.4
2017-07-23,"PG_B2",291800,285450,6350,2.2,69280,68861,419,0.6,361080,6769,1.9
2017-07-23,"PG_B3",245287,244088,1199,0.5,68907,63380,5527,8,314194,6726,2.1
2017-07-23,"PG_B4",206255,196590,9665,4.7,62261,61501,760,1.2,268516,10425,3.9
2017-07-23,"PG_B5",280666,277688,2978,1.1,100038,98020,2018,2,380704,4996,1.3
2017-07-16,"PG_B1",260734,273732,-12998,-5,96352,94389,1963,2,357086,-11035,-3.1
2017-07-16,"PG_B2",293244,282415,10829,3.7,70404,67909,2495,3.5,363648,13324,3.7
2017-07-16,"PG_B3",232702,234452,-1750,-0.8,74574,67017,7557,10.1,307276,5807,1.9
2017-07-16,"PG_B4",196954,186567,10387,5.3,58628,57464,1164,2,255582,11551,4.5
2017-07-16,"PG_B5",270542,269683,859,0.3,97699,95514,2185,2.2,368241,3044,0.8
2017-07-09,"PG_B1",292600,285619,6981,2.4,93921,91503,2418,2.6,386521,9399,2.4
2017-07-09,"PG_B2",286115,282801,3314,1.2,75774,72898,2876,3.8,361889,6190,1.7
2017-07-09,"PG_B3",246476,236273,10203,4.1,77038,66423,10615,13.8,323514,20818,6.4
2017-07-09,"PG_B4",201655,188142,13513,6.7,57000,56233,767,1.3,258655,14280,5.5
2017-07-09,"PG_B5",264042,272992,-8950,-3.4,100498,97982,2516,2.5,364540,-6434,-1.8
2017-07-02,"PG_B1",302692,299588,3104,1,95809,93746,2063,2.2,398501,5167,1.3
2017-07-02,"PG_B2",301719,297582,4137,1.4,72710,70463,2247,3.1,374429,6384,1.7
2017-07-02,"PG_B3",245070,239829,5241,2.1,75070,64037,11033,14.7,320140,16274,5.1
2017-07-02,"PG_B4",209760,196817,12943,6.2,61100,60458,642,1.1,270860,13585,5
2017-07-02,"PG_B5",268676,270620,-1944,-0.7,108283,104534,3749,3.5,376959,1805,0.5
2017-06-25,"PG_B1",296966,296400,566,0.2,99094,96876,2218,2.2,396060,2784,0.7
2017-06-25,"PG_B2",277478,280978,-3500,-1.3,69708,66878,2830,4.1,347186,-670,-0.2
2017-06-25,"PG_B3",232155,232433,-278,-0.1,76287,70653,5634,7.4,308442,5356,1.7
2017-06-25,"PG_B4",200055,197865,2190,1.1,55494,54636,858,1.5,255549,3048,1.2
2017-06-25,"PG_B5",272499,265041,7458,2.7,102113,99724,2389,2.3,374612,9847,2.6
2017-06-18,"PG_B1",308914,303614,5300,1.7,97991,92489,5502,5.6,406905,10802,2.7
2017-06-18,"PG_B2",282473,275131,7342,2.6,72498,69202,3296,4.5,354971,10638,3
2017-06-18,"PG_B3",232034,229558,2476,1.1,71618,66364,5254,7.3,303652,7730,2.5
2017-06-18,"PG_B4",196556,182899,13657,6.9,53285,52655,630,1.2,249841,14287,5.7
2017-06-18,"PG_B5",259786,260482,-696,-0.3,97404,94181,3223,3.3,357190,2527,0.7
