"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"207",2016-09-17,145189,949,152.991570073762
"208",2016-09-18,149577,949,157.615384615385
"209",2016-09-19,137018,949,144.381454162276
"210",2016-09-20,131130,949,138.177028451001
"211",2016-09-21,131462,949,138.526870389884
"212",2016-09-22,127282,949,134.122233930453
"213",2016-09-23,129817,949,136.793466807165
"214",2016-09-24,140945,949,148.519494204426
"215",2016-09-25,140640,949,148.198103266596
"216",2016-09-26,134662,949,141.898840885142
"217",2016-09-27,133132,949,140.286617492097
"218",2016-09-28,131421,949,138.483667017914
"219",2016-09-29,131717,949,138.795574288725
"220",2016-09-30,131312,949,138.368809272919
"221",2016-10-01,137371,949,144.753424657534
"222",2016-10-02,146498,949,154.370916754478
"223",2016-10-03,135074,949,142.332982086407
"224",2016-10-04,131007,949,138.04741833509
"225",2016-10-05,128944,949,135.873551106428
"226",2016-10-06,125981,949,132.751317175975
"227",2016-10-07,132318,949,139.428872497366
"228",2016-10-08,137664,949,145.062170706006
"229",2016-10-09,144323,949,152.079030558483
"230",2016-10-10,136944,949,144.303477344573
"231",2016-10-11,135268,949,142.537407797682
"232",2016-10-12,130908,949,137.943097997893
"233",2016-10-13,132156,949,139.258166491043
"234",2016-10-14,128735,949,135.653319283456
"235",2016-10-15,141523,949,149.128556375132
"236",2016-10-16,139911,949,147.429926238145
"237",2016-10-17,131023,949,138.064278187566
"238",2016-10-18,134959,949,142.211801896733
"239",2016-10-19,124664,949,131.36354056902
"240",2016-10-20,128103,949,134.987355110643
"241",2016-10-21,123921,949,130.580611169652
"242",2016-10-22,125742,949,132.49947312961
"243",2016-10-23,138038,949,145.45626975764
"244",2016-10-24,125192,949,131.919915700738
"245",2016-10-25,123727,949,130.376185458377
"246",2016-10-26,130298,949,137.300316122234
"247",2016-10-27,120823,949,127.31612223393
"248",2016-10-28,120377,949,126.846153846154
"249",2016-10-29,134786,949,142.029504741834
"250",2016-10-30,134895,949,142.144362486828
"251",2016-10-31,132646,949,139.77449947313
"252",2016-11-01,125444,949,132.185458377239
"253",2016-11-02,126965,949,133.788198103267
"254",2016-11-03,123121,949,129.737618545838
"255",2016-11-04,125099,949,131.821917808219
"256",2016-11-05,131843,949,138.928345626976
"257",2016-11-06,135708,949,143.00105374078
"258",2016-11-07,125935,949,132.702845100105
"259",2016-11-08,127750,949,134.615384615385
"260",2016-11-09,127887,949,134.759747102213
"261",2016-11-10,128496,949,135.401475237092
"262",2016-11-11,127559,949,134.414120126449
"263",2016-11-12,137697,949,145.096944151739
"264",2016-11-13,143544,949,151.258166491043
"265",2016-11-14,127425,949,134.27291886196
"266",2016-11-15,126142,949,132.920969441517
"267",2016-11-16,122263,949,128.833508956797
"268",2016-11-17,128197,949,135.086406743941
"269",2016-11-18,126540,949,133.340358271865
"270",2016-11-19,137970,949,145.384615384615
"271",2016-11-20,144128,949,151.873551106428
"272",2016-11-21,133554,949,140.731296101159
"273",2016-11-22,126705,949,133.514225500527
"274",2016-11-23,126725,949,133.535300316122
"275",2016-11-24,123328,949,129.95574288725
"276",2016-11-25,124034,949,130.699683877766
"277",2016-11-26,130286,949,137.287671232877
"278",2016-11-27,137717,949,145.118018967334
"279",2016-11-28,133312,949,140.476290832455
"280",2016-11-29,122240,949,128.809272918862
"281",2016-11-30,126566,949,133.367755532139
"282",2016-12-01,121550,949,128.082191780822
