"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
34,"3004479661","SUB","Punggol",2018-01-29,2018-02-25,28,1.33,"Severe","Close","ACTIVE",""
2126,"3003487450","SUB","Yuhua",2018-05-24,2018-05-30,7,2,"Severe","Close","INACTIVE",""
98,"3004521824","SUB","Punggol",2016-05-11,2016-06-01,22,1,"Severe","Close","INACTIVE",""
98,"3004521824","SUB","Punggol",2016-06-04,2017-01-30,241,6.33,"Severe","Close","INACTIVE",""
157,"3004522256","SUB","Punggol",2016-04-09,2016-04-16,8,2,"Severe","Close","INACTIVE",""
240,"3100249978","SUB","Punggol",2016-05-05,2016-05-20,16,1,"Severe","Close","INACTIVE",""
240,"3100249978","SUB","Punggol",2016-05-28,2016-06-07,11,4,"Severe","Close","INACTIVE",""
240,"3100249978","SUB","Punggol",2017-11-13,2017-11-16,4,14,"Severe","Close","INACTIVE",""
240,"3100249978","SUB","Punggol",2018-01-08,2018-01-20,13,1,"Severe","Close","INACTIVE",""
366,"3005448643","SUB","Punggol",2017-01-20,2017-01-24,5,6.67,"Severe","Close","INACTIVE",""
93,"3004521518","SUB","Punggol",2016-12-04,2016-12-10,7,1,"Severe","Close","INACTIVE",""
93,"3004521518","SUB","Punggol",2016-12-19,2017-01-03,16,1.67,"Severe","Close","INACTIVE",""
93,"3004521518","SUB","Punggol",2018-03-22,2018-04-18,28,1,"Severe","Close","ACTIVE",""
123,"3004521085","SUB","Punggol",2017-01-05,2017-01-08,4,4,"Moderate","Close","INACTIVE",""
123,"3004521085","SUB","Punggol",2017-09-28,2017-10-13,16,1,"Severe","Close","ACTIVE",""
123,"3004521085","SUB","Punggol",2018-04-14,2018-04-22,9,1,"Severe","Close","ACTIVE",""
123,"3004521085","SUB","Punggol",2018-01-10,2018-03-13,63,5,"Severe","Close","ACTIVE",""
123,"3004521085","SUB","Punggol",2018-03-20,2018-03-23,4,1.67,"Moderate","Close","ACTIVE",""
139,"3004522216","SUB","Punggol",2016-06-20,2016-07-02,13,2,"Severe","Close","INACTIVE",""
139,"3004522216","SUB","Punggol",2016-07-06,2016-07-20,15,3,"Severe","Close","INACTIVE",""
101,"3004521564","SUB","Punggol",2016-03-09,2016-03-25,17,18.67,"Critical","Close","INACTIVE",""
101,"3004521564","SUB","Punggol",2016-03-28,2016-04-20,24,21.33,"Critical","Close","INACTIVE",""
110,"3004520724","SUB","Punggol",2016-03-09,2016-04-27,50,30.67,"Critical","Close","INACTIVE",""
113,"3004521613","SUB","Punggol",2016-03-09,2017-06-21,470,22.67,"Critical","Close","INACTIVE",""
2105,"3003483046","SUB","Yuhua",2018-04-22,2018-05-15,24,92,"Critical","Close","INACTIVE",""
2101,"3001055600","SUB","Yuhua",2018-05-12,2018-05-17,6,1,"Severe","Close","INACTIVE",""
2162,"3003484718","SUB","Yuhua",2018-04-13,2018-04-17,5,1,"Severe","Close","INACTIVE",""
2198,"3001098882","SUB","Yuhua",2018-05-13,2018-05-18,6,1,"Severe","Close","INACTIVE",""
2165,"3003487410","SUB","Yuhua",2018-04-11,2018-04-14,4,1,"Moderate","Close","INACTIVE",""
2165,"3003487410","SUB","Yuhua",2018-04-24,2018-04-27,4,3,"Moderate","Close","INACTIVE",""
2165,"3003487410","SUB","Yuhua",2018-05-21,2018-05-27,7,7,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-03-29,2018-04-03,6,1,"Severe","Close","INACTIVE",""
2193,"3001108193","SUB","Yuhua",2018-04-30,2018-05-06,7,1,"Severe","Close","INACTIVE",""
2211,"3003506321","SUB","Yuhua",2018-05-22,2018-05-27,6,1,"Severe","Close","INACTIVE",""
