"","service_point_sn","site","pub_cust_id","start_date","end_date","duration","severity","status.x"
"254",3004521085,"Punggol","008918262547","2018-04-14","2018-04-22",9,"Severe","Close"
"255",3000856805,"Yuhua","008933737697","2018-06-03","2018-06-06",4,"Moderate","Close"
"256",3003506321,"Yuhua","007015805808","2018-05-21","2018-05-27",7,"Severe","Close"
"257",3003506321,"Yuhua","007015805808","2018-06-22","2018-06-29",8,"Severe","Close"
"258",3004521803,"Punggol","008901736085","2016-03-12","2016-07-11",122,"Severe","Close"
"259",3004521803,"Punggol","008901736085","2016-07-19","2017-03-31",256,"Critical","Close"
"260",3004521803,"Punggol","008901736085","2017-05-03","2017-07-20",79,"Critical","Close"
"261",3004478638,"Punggol","008901750516","2017-10-24","2017-11-17",25,"Critical","Close"
"262",3004479278,"Punggol","008901654395","2017-05-02","2017-06-01",31,"Severe","Close"
"263",3004479278,"Punggol","008901654395","2017-06-22","2017-06-28",7,"Severe","Close"
"264",3004479721,"Punggol","008901722804","2016-03-12","2016-03-26",15,"Severe","Close"
"265",3004479721,"Punggol","008901722804","2016-04-03","2017-02-12",316,"Severe","Close"
"266",3000725041,"Yuhua","007012900338","2018-06-24","2018-07-14",21,"Severe","Close"
"267",3000725041,"Yuhua","007012900338","2018-07-29","2018-08-07",10,"Severe","Close"
"268",3004521867,"Punggol","008902961724","2016-10-24","2016-10-29",6,"Critical","Close"
"269",3004520880,"Punggol","008901385180","2018-01-24","2018-01-29",6,"Severe","Close"
"270",3004520880,"Punggol","008901385180","2018-02-02","2018-02-05",4,"Severe","Close"
"271",3100249926,"Punggol","008927338452","2018-05-23","2018-07-26",65,"Severe","Close"
"272",3100249926,"Punggol","008927338452","2018-03-18","2018-03-30",13,"Severe","Close"
"273",3005448539,"Punggol","008928096679","2017-09-25","2017-09-28",4,"Severe","Close"
"274",3005448539,"Punggol","008928096679","2018-07-19","2018-07-24",6,"Severe","Close"
"275",3100159959,"Punggol","008927865447","2017-03-14","2017-03-25",12,"Severe","Close"
"276",3100159959,"Punggol","008927865447","2017-03-29","2017-04-13",16,"Severe","Close"
"277",3100159491,"Punggol","008923611530","2016-07-04","2016-07-08",5,"Severe","Close"
"278",3100159491,"Punggol","008923611530","2016-08-11","2016-08-14",4,"Moderate","Close"
"279",3100159491,"Punggol","008923611530","2016-08-19","2016-08-27",9,"Severe","Close"
"280",3100159491,"Punggol","008923611530","2016-09-05","2016-09-09",5,"Severe","Close"
"281",3100159491,"Punggol","008923611530","2016-09-13","2016-09-28",16,"Severe","Close"
"282",3100159491,"Punggol","008923611530","2016-11-09","2016-11-12",4,"Moderate","Close"
"283",3100159491,"Punggol","008923611530","2016-12-29","2017-01-18",21,"Severe","Close"
"284",3100159491,"Punggol","008923611530","2017-02-07","2017-02-28",22,"Severe","Close"
"285",3100159491,"Punggol","008923611530","2017-03-20","2017-03-23",4,"Moderate","Close"
"286",3100159491,"Punggol","008923611530","2017-03-27","2017-04-01",6,"Severe","Close"
"287",3100159491,"Punggol","008923611530","2017-04-19","2017-04-28",10,"Severe","Close"
"288",3100159491,"Punggol","008923611530","2017-06-26","2017-07-01",6,"Severe","Close"
"289",3100159491,"Punggol","008923611530","2017-07-13","2017-08-01",20,"Severe","Close"
"290",3100159491,"Punggol","008923611530","2017-10-17","2017-10-21",5,"Severe","Close"
"291",3100159491,"Punggol","008923611530","2017-12-23","2017-12-26",4,"Moderate","Close"
"292",3100159491,"Punggol","008923611530","2018-01-18","2018-01-21",4,"Moderate","Close"
"293",3100159491,"Punggol","008923611530","2018-01-24","2018-02-06",14,"Severe","Close"
"294",3100159491,"Punggol","008923611530","2018-03-03","2018-03-07",5,"Severe","Close"
"295",3100159491,"Punggol","008923611530","2018-04-20","2018-05-02",13,"Severe","Close"
"296",3100159491,"Punggol","008923611530","2018-05-11","2018-05-16",6,"Severe","Close"
"297",3100159491,"Punggol","008923611530","2018-07-29","2018-08-01",4,"Moderate","Close"
"298",3100159851,"Punggol","008925057906","2016-03-13","2016-03-19",7,"Severe","Close"
"299",3100159851,"Punggol","008925057906","2017-07-02","2017-07-06",5,"Severe","Close"
"300",3100159807,"Punggol","008923769064","2017-11-06","2017-11-10",5,"Severe","Close"
"301",3100159807,"Punggol","008923769064","2017-11-17","2017-12-05",19,"Severe","Close"
"302",3004521276,"Punggol","008932919742","2016-10-30","2016-11-25",27,"Severe","Close"
"303",3004521276,"Punggol","008932919742","2016-11-29","2016-12-21",23,"Severe","Close"
"304",3004521276,"Punggol","008932919742","2017-01-09","2017-01-28",20,"Severe","Close"
"305",3004521276,"Punggol","008932919742","2017-02-04","2017-02-13",10,"Severe","Close"
"306",3004521276,"Punggol","008932919742","2017-02-19","2017-03-19",29,"Severe","Close"
"307",3004521276,"Punggol","008932919742","2017-04-02","2017-04-12",11,"Severe","Close"
"308",3004521276,"Punggol","008932919742","2017-05-30","2017-06-03",5,"Severe","Close"
"309",3004521276,"Punggol","008932919742","2017-11-28","2017-12-02",5,"Severe","Close"
"310",3004521109,"Punggol","008935337686","2017-09-06","2017-11-26",82,"Critical","Close"
"311",3005448719,"Punggol","008936720716","2018-07-11","2018-07-28",18,"Severe","Close"
