"","service_point_sn","start_date","end_date","duration","min5flow_ave","status"
"32","3004521613","2016-03-09","2017-06-21",470,22.67,"Close"
"33","3100250142","2016-08-23","2016-09-01",10,1,"Close"
"34","3100250118","2017-08-15","2017-09-02",19,1,"Close"
"35","3004478810","2016-03-10","2016-04-24",46,5.33,"Close"
"36","3004478810","2016-04-29","2016-05-04",6,1.33,"Close"
"37","3004478810","2016-06-01","2016-06-29",29,2.33,"Close"
"38","3004478810","2016-07-12","2016-07-29",18,1.67,"Close"
"39","3004478810","2016-08-08","2016-08-16",9,2.33,"Close"
"40","3004478810","2016-08-31","2016-09-10",11,3.67,"Close"
"41","3004478810","2016-09-25","2016-10-01",7,2.67,"Close"
"42","3004478810","2016-10-05","2016-10-20",16,4,"Close"
"43","3004478810","2016-10-24","2016-12-02",40,3.67,"Close"
"44","3004479481","2016-03-08","2016-04-21",45,47.33,"Close"
"45","3004479816","2017-08-02","2017-08-06",5,1,"Close"
"46","3004480243","2017-02-28","2017-05-27",89,1,"Close"
"47","3004478784","2016-03-08","2016-04-22",46,43,"Close"
"48","3004478784","2017-07-07","2017-07-10",4,1,"Close"
"49","3004478784","2017-11-13","2017-11-22",10,1.67,"Close"
"50","3004478784","2017-11-25","2017-12-05",11,2,"Close"
"51","3004479661","2016-03-08","2016-05-01",55,29.67,"Close"
"52","3004479661","2017-01-16","2017-02-27",43,7,"Close"
"53","3004479661","2017-06-29","2017-07-12",14,2,"Close"
"54","3004479661","2018-01-10","2018-01-21",12,1,"Close"
"55","3004479661","2018-01-29","2018-02-25",28,1.33,"Close"
"56","3004480078","2017-12-29","2018-01-04",7,2,"Close"
"57","3004521705","2016-09-27","2016-09-30",4,3.67,"Close"
"58","3004521189","2016-03-15","2016-03-28",14,4,"Close"
"59","3004521189","2016-06-10","2016-06-15",6,1.67,"Close"
"60","3004521189","2016-06-18","2016-06-26",9,1.33,"Close"
"61","3004521189","2016-07-21","2016-08-12",23,3.33,"Close"
"62","3004521189","2016-08-15","2016-09-21",38,2,"Close"
"63","3004521189","2016-10-30","2017-02-27",121,5.33,"Close"
"64","3100249978","2016-05-05","2016-05-20",16,1,"Close"
"65","3100249978","2016-05-28","2016-06-07",11,4,"Close"
"66","3100249978","2017-11-13","2017-11-16",4,14,"Close"
"67","3100249978","2018-01-08","2018-01-20",13,1,"Close"
"68","3005448643","2017-01-20","2017-01-24",5,6.67,"Close"
"69","3004521824","2016-05-11","2016-06-01",22,1,"Close"
"70","3004521824","2016-06-04","2017-01-30",241,6.33,"Close"
"71","3004522256","2016-04-09","2016-04-16",8,2,"Close"
"72","3004521518","2016-12-04","2016-12-10",7,1,"Close"
"73","3004521518","2016-12-19","2017-01-03",16,1.67,"Close"
"74","3004521564","2016-03-09","2016-03-25",17,18.67,"Close"
"75","3004521564","2016-03-28","2016-04-20",24,21.33,"Close"
"76","3004520724","2016-03-09","2016-04-27",50,30.67,"Close"
"77","3004521085","2017-01-05","2017-01-08",4,4,"Close"
"78","3004521085","2017-09-28","2017-10-13",16,1,"Close"
"79","3004521085","2018-01-10","2018-03-13",63,5,"Close"
"80","3004521085","2018-03-20","2018-03-23",4,1.67,"Close"
"81","3004522216","2016-06-20","2016-07-02",13,2,"Close"
"82","3004522216","2016-07-06","2016-07-20",15,3,"Close"
"83","3004478742","2016-03-10","2016-03-13",4,2,"Close"
"84","3004478742","2016-04-01","2016-04-14",14,2.33,"Close"
