"","id_service_point","date","MinCons_60"
"608",623,2018-05-08,0
"609",623,2018-05-09,0
"610",623,2018-05-10,0
"611",623,2018-05-11,0
"612",623,2018-05-12,0
"613",623,2018-05-13,0
"614",623,2018-05-14,0
"615",623,2018-05-15,0
"616",623,2018-05-16,0
"617",623,2018-05-17,0
"618",623,2018-05-18,15
"619",623,2018-05-19,0
"620",623,2018-05-20,0
"621",623,2018-05-21,0
"622",623,2018-05-22,0
"623",623,2018-05-23,0
"624",623,2018-05-24,0
"625",623,2018-05-25,0
"626",623,2018-05-26,0
"627",623,2018-05-27,0
"628",623,2018-05-28,0
"629",623,2018-05-29,0
"630",623,2018-05-30,0
"631",623,2018-05-31,0
"632",623,2018-06-01,0
"633",623,2018-06-02,0
"634",623,2018-06-03,3
"635",624,2018-04-01,0
"636",624,2018-04-02,0
"637",624,2018-04-03,0
"638",624,2018-04-04,0
"639",624,2018-04-05,3
"640",624,2018-04-06,2
"641",624,2018-04-07,6
"642",624,2018-04-08,2
"643",624,2018-04-09,0
"644",624,2018-04-10,0
"645",624,2018-04-11,9
"646",624,2018-04-12,13
"647",624,2018-04-18,0
"648",624,2018-04-19,0
"649",624,2018-04-20,0
"650",624,2018-04-21,0
"651",624,2018-04-22,0
"652",624,2018-04-23,0
"653",624,2018-04-24,11
"654",624,2018-05-03,0
"655",624,2018-05-04,115
"656",624,2018-05-07,0
"657",624,2018-05-08,0
"658",624,2018-05-09,0
"659",624,2018-05-10,0
"660",624,2018-05-11,0
"661",624,2018-05-12,162
"662",624,2018-05-22,1
"663",624,2018-05-23,0
"664",624,2018-05-24,1
"665",624,2018-05-25,0
"666",624,2018-05-26,0
"667",624,2018-05-27,1
"668",624,2018-05-28,1
"669",624,2018-05-29,1
"670",624,2018-05-30,1
"671",624,2018-05-31,1
"672",624,2018-06-01,1
"673",624,2018-06-02,1
"674",624,2018-06-03,1
"675",624,2018-06-04,1
"676",625,2018-04-01,0
"677",625,2018-04-02,0
"678",625,2018-04-03,0
"679",625,2018-04-04,0
"680",625,2018-04-05,0
"681",625,2018-04-06,0
"682",625,2018-04-07,0
"683",625,2018-04-08,0
"684",625,2018-04-09,0
"685",625,2018-04-11,0
"686",625,2018-04-13,0
"687",625,2018-04-14,0
"688",625,2018-04-15,0
"689",625,2018-04-16,0
"690",625,2018-04-17,0
"691",625,2018-04-18,0
"692",625,2018-04-19,0
"693",625,2018-04-20,0
"694",625,2018-04-21,1
"695",625,2018-04-22,0
"696",625,2018-04-23,153
"697",625,2018-04-25,0
"698",625,2018-04-26,1
"699",625,2018-04-27,0
"700",625,2018-04-28,0
"701",625,2018-04-29,0
"702",625,2018-04-30,0
"703",625,2018-05-01,0
"704",625,2018-05-02,0
"705",625,2018-05-03,10
"706",625,2018-05-04,0
"707",625,2018-05-05,10
"708",625,2018-05-06,0
"709",625,2018-05-07,0
"710",625,2018-05-08,0
"711",625,2018-05-09,47
