"","id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
"1260",1357,"S03",262,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-20 15:00:03,"-"
"1261",1364,"S02",2129,"SUCCESS","740",2018-08-16,NA,2018-08-16 15:00:03,2018-08-22 15:00:03,"-"
"1262",1377,"S04",86,"AVAILABLE",NA,2018-08-22,2018-11-22,2018-08-22 15:00:03,2018-08-22 15:00:03,"-"
"1263",1378,"S04",2004,"AVAILABLE",NA,2018-08-22,2018-11-22,2018-08-22 15:00:03,2018-08-22 15:00:03,"-"
"1264",1380,"S04",2249,"AVAILABLE",NA,2018-08-23,2018-11-23,2018-08-23 15:00:03,2018-08-23 15:00:03,"-"
"1265",1389,"S02",1934,"AVAILABLE","747",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1266",1391,"S02",2089,"AVAILABLE","749",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1267",1371,"S04",2089,"FAILED",NA,2018-08-19,2018-11-19,2018-08-19 15:00:03,2018-08-24 15:00:03,"-"
"1268",1373,"S04",2370,"FAILED",NA,2018-08-20,2018-11-20,2018-08-20 15:00:03,2018-08-24 15:00:03,"-"
"1269",1379,"S04",2129,"FAILED",NA,2018-08-22,2018-11-22,2018-08-22 15:00:03,2018-08-24 15:00:03,"-"
"1270",1376,"S02",2451,"SUCCESS","744",2018-08-20,NA,2018-08-20 15:00:03,2018-08-27 15:00:03,"-"
"1271",1386,"S02",2352,"SUCCESS","650",2018-08-24,NA,2018-08-24 15:00:03,2018-08-27 15:00:03,"-"
"1272",1366,"S04",2007,"FAILED",NA,2018-08-17,2018-11-17,2018-08-17 15:00:02,2018-08-27 15:00:03,"-"
"1273",1322,"S03",2279,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-27 15:00:03,"-"
"1274",1356,"S03",198,"FAILED",NA,2018-08-13,2018-11-13,2018-08-13 15:00:03,2018-08-27 15:00:03,"-"
"1275",1388,"S02",2115,"SUCCESS","557",2018-08-24,NA,2018-08-24 15:00:03,2018-08-29 15:00:03,"-"
"1276",1387,"S02",2263,"SUCCESS","612",2018-08-24,NA,2018-08-24 15:00:03,2018-08-31 15:00:03,"-"
"1277",1372,"S04",1948,"FAILED",NA,2018-08-19,2018-11-19,2018-08-19 15:00:03,2018-09-01 15:00:02,"-"
"1278",1382,"S04",2198,"FAILED",NA,2018-08-24,2018-11-24,2018-08-24 15:00:03,2018-09-01 15:00:02,"-"
"1279",1381,"S02",1923,"SUCCESS","746",2018-08-23,NA,2018-08-23 15:00:03,2018-09-02 15:00:03,"-"
"1280",1395,"S02",2189,"AVAILABLE","753",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1281",1396,"S02",2263,"AVAILABLE","754",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1282",1400,"S02",2370,"AVAILABLE","758",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1283",1402,"S02",1852,"AVAILABLE","760",2018-08-24,NA,2018-08-24 15:00:03,2018-08-24 15:00:03,"-"
"1284",1393,"S02",2116,"SUCCESS","751",2018-08-24,NA,2018-08-24 15:00:03,2018-08-25 15:00:03,"-"
"1285",1405,"S02",2070,"SUCCESS","763",2018-08-24,NA,2018-08-24 15:00:03,2018-08-25 15:00:03,"-"
"1286",1406,"S04",2116,"AVAILABLE",NA,2018-08-25,2018-11-25,2018-08-25 15:00:03,2018-08-25 15:00:03,"-"
"1287",1407,"S04",2070,"AVAILABLE",NA,2018-08-25,2018-11-25,2018-08-25 15:00:03,2018-08-25 15:00:03,"-"
"1288",1401,"S02",2470,"SUCCESS","759",2018-08-24,NA,2018-08-24 15:00:03,2018-08-26 15:00:03,"-"
"1289",1410,"S02",1974,"AVAILABLE","765",2018-08-26,NA,2018-08-26 15:00:03,2018-08-26 15:00:03,"-"
"1290",1300,"S04",1974,"FAILED",NA,2018-08-10,2018-11-10,2018-08-10 15:00:03,2018-08-26 15:00:03,"-"
"1291",1399,"S02",2352,"SUCCESS","757",2018-08-24,NA,2018-08-24 15:00:03,2018-08-27 15:00:03,"-"
"1292",1411,"S04",2451,"AVAILABLE",NA,2018-08-27,2018-11-27,2018-08-27 15:00:03,2018-08-27 15:00:03,"-"
"1293",1414,"S02",2081,"AVAILABLE","766",2018-08-27,NA,2018-08-27 15:00:03,2018-08-27 15:00:03,"-"
"1294",1416,"S02",2007,"AVAILABLE","768",2018-08-27,NA,2018-08-27 15:00:03,2018-08-27 15:00:03,"-"
"1295",1417,"S02",2470,"AVAILABLE","769",2018-08-28,NA,2018-08-28 15:00:03,2018-08-28 15:00:03,"-"
"1296",1408,"S04",2470,"FAILED",NA,2018-08-26,2018-11-26,2018-08-26 15:00:03,2018-08-28 15:00:03,"-"
"1297",1392,"S02",2115,"SUCCESS","750",2018-08-24,NA,2018-08-24 15:00:03,2018-08-29 15:00:03,"-"
