"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
197,"S03",181,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
198,"S03",555,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
202,"S03",306,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
203,"S03",324,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
204,"S03",502,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
208,"S03",185,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
209,"S03",233,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
210,"S03",300,"AVAILABLE",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-07-17 15:38:35,NA
212,"S04",322,"AVAILABLE",NA,2017-08-16,2017-11-16,2017-08-16 15:00:03,2017-08-16 15:00:03,"-"
213,"S04",422,"AVAILABLE",NA,2017-08-16,2017-11-16,2017-08-16 15:00:03,2017-08-16 15:00:03,"-"
87,"S03",1774,"SUCCESS",NA,2017-05-15,2017-08-15,2017-05-15 15:00:03,2017-08-16 15:00:03,NA
195,"S03",539,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-17 15:00:03,NA
214,"S04",11,"AVAILABLE",NA,2017-08-18,2017-11-18,2017-08-18 15:00:03,2017-08-18 15:00:03,"-"
193,"S03",1791,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-21 15:00:03,NA
199,"S03",352,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-21 15:00:03,NA
200,"S03",376,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-21 15:00:03,NA
201,"S03",371,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-21 15:00:03,NA
206,"S03",467,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-21 15:00:03,NA
223,"S03",156,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
228,"S03",386,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
229,"S03",399,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
230,"S03",417,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
231,"S03",467,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
182,"S04",51,"FAILED",NA,2017-07-02,2017-10-02,2017-07-02 15:00:05,2017-10-02 09:38:52,NA
181,"S04",33,"SUCCESS",NA,2017-07-01,2017-10-01,2017-07-01 15:00:03,2017-10-02 09:38:52,NA
155,"S03",123,"FAILED",NA,2017-06-26,2017-09-26,2017-06-26 15:00:03,2017-10-02 09:38:52,NA
232,"S03",421,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
234,"S03",265,"AVAILABLE",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-21 15:00:03,"-"
112,"S04",44,"SUCCESS",NA,2017-05-24,2017-08-24,2017-05-24 15:00:03,2017-08-25 15:00:03,NA
237,"S04",31,"AVAILABLE",NA,2017-08-27,2017-11-27,2017-08-27 15:00:03,2017-08-27 15:00:03,"-"
238,"S04",539,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
205,"S03",505,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-08-28 15:00:03,NA
219,"S03",46,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
220,"S03",89,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
221,"S03",1791,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
222,"S03",1771,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
224,"S03",352,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
225,"S03",376,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
226,"S03",371,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
