"","date","block","MeanCountPerHour","MeterCount","HourlyIndexReadingRate"
"150",2018-04-22,"YH_B3",24.625,25,98.5
"151",2018-04-22,"YH_B4",64.1666666666667,90,71.3
"152",2018-04-22,"YH_B5",108.416666666667,113,95.94
"153",2018-04-22,"YH_B6",67.5,92,73.37
"154",2018-04-22,"YH_B7",17.9166666666667,18,99.54
"155",2018-04-23,"YH_B1",63.5,99,64.14
"156",2018-04-23,"YH_B2",130.083333333333,135,96.36
"157",2018-04-23,"YH_B3",24.75,25,99
"158",2018-04-23,"YH_B4",63.5416666666667,90,70.6
"159",2018-04-23,"YH_B5",108.125,113,95.69
"160",2018-04-23,"YH_B6",74.2083333333333,92,80.66
"161",2018-04-23,"YH_B7",17.9583333333333,18,99.77
"162",2018-04-24,"YH_B1",63.1666666666667,99,63.8
"163",2018-04-24,"YH_B2",131.375,135,97.31
"164",2018-04-24,"YH_B3",24.7916666666667,25,99.17
"165",2018-04-24,"YH_B4",64.4583333333333,90,71.62
"166",2018-04-24,"YH_B5",109.5,113,96.9
"167",2018-04-24,"YH_B6",72.2916666666667,92,78.58
"168",2018-04-24,"YH_B7",17.5416666666667,18,97.45
"169",2018-04-25,"YH_B1",67.8333333333333,99,68.52
"170",2018-04-25,"YH_B2",130.125,135,96.39
"171",2018-04-25,"YH_B3",24.2916666666667,25,97.17
"172",2018-04-25,"YH_B4",63.7916666666667,90,70.88
"173",2018-04-25,"YH_B5",108.125,113,95.69
"174",2018-04-25,"YH_B6",71.125,92,77.31
"175",2018-04-25,"YH_B7",17.7916666666667,18,98.84
"176",2018-04-26,"YH_B1",72.3333333333333,99,73.06
"177",2018-04-26,"YH_B2",131.583333333333,135,97.47
"178",2018-04-26,"YH_B3",24.25,25,97
"179",2018-04-26,"YH_B4",64.5,90,71.67
"180",2018-04-26,"YH_B5",109.083333333333,113,96.53
"181",2018-04-26,"YH_B6",72.125,92,78.4
"182",2018-04-26,"YH_B7",17.9166666666667,18,99.54
"183",2018-04-27,"YH_B1",65.0833333333333,99,65.74
"184",2018-04-27,"YH_B2",131.5,135,97.41
"185",2018-04-27,"YH_B3",24.75,25,99
"186",2018-04-27,"YH_B4",65.5416666666667,90,72.82
"187",2018-04-27,"YH_B5",108.625,113,96.13
"188",2018-04-27,"YH_B6",73.9166666666667,92,80.34
"189",2018-04-27,"YH_B7",18,18,100
"190",2018-04-28,"YH_B1",58.9166666666667,99,59.51
"191",2018-04-28,"YH_B2",131.708333333333,135,97.56
"192",2018-04-28,"YH_B3",24.5,25,98
"193",2018-04-28,"YH_B4",59.625,90,66.25
"194",2018-04-28,"YH_B5",109.75,113,97.12
"195",2018-04-28,"YH_B6",77.2916666666667,92,84.01
"196",2018-04-28,"YH_B7",17.7916666666667,18,98.84
"197",2018-04-29,"YH_B1",65.6666666666667,99,66.33
"198",2018-04-29,"YH_B2",131.583333333333,135,97.47
"199",2018-04-29,"YH_B3",24.8333333333333,25,99.33
"200",2018-04-29,"YH_B4",61.625,90,68.47
"201",2018-04-29,"YH_B5",108.875,113,96.35
"202",2018-04-29,"YH_B6",80.9583333333333,92,88
"203",2018-04-29,"YH_B7",17.75,18,98.61
"204",2018-04-30,"YH_B1",62.9166666666667,99,63.55
"205",2018-04-30,"YH_B2",131.541666666667,135,97.44
"206",2018-04-30,"YH_B3",24.6666666666667,25,98.67
"207",2018-04-30,"YH_B4",62.2916666666667,90,69.21
"208",2018-04-30,"YH_B5",108.5,113,96.02
"209",2018-04-30,"YH_B6",80.9166666666667,92,87.95
"210",2018-04-30,"YH_B7",17.625,18,97.92
"211",2018-05-01,"YH_B1",69.9166666666667,99,70.62
"212",2018-05-01,"YH_B2",131.625,135,97.5
"213",2018-05-01,"YH_B3",24.9166666666667,25,99.67
"214",2018-05-01,"YH_B4",72.375,90,80.42
"215",2018-05-01,"YH_B5",108.541666666667,113,96.05
"216",2018-05-01,"YH_B6",80,92,86.96
"217",2018-05-01,"YH_B7",17.9583333333333,18,99.77
"218",2018-05-02,"YH_B1",71.3333333333333,99,72.05
"219",2018-05-02,"YH_B2",131.166666666667,135,97.16
"220",2018-05-02,"YH_B3",24.5833333333333,25,98.33
"221",2018-05-02,"YH_B4",65.875,90,73.19
"222",2018-05-02,"YH_B5",109.083333333333,113,96.53
"223",2018-05-02,"YH_B6",81.5,92,88.59
"224",2018-05-02,"YH_B7",17.9583333333333,18,99.77
"225",2018-05-03,"YH_B1",65.2916666666667,99,65.95
"226",2018-05-03,"YH_B2",131.25,135,97.22
"227",2018-05-03,"YH_B3",24.5,25,98
"228",2018-05-03,"YH_B4",64.375,90,71.53
"229",2018-05-03,"YH_B5",108.083333333333,113,95.65
"230",2018-05-03,"YH_B6",74.5,92,80.98
"231",2018-05-03,"YH_B7",17.6666666666667,18,98.15
"232",2018-05-04,"YH_B1",65.4583333333333,99,66.12
"233",2018-05-04,"YH_B2",132.25,135,97.96
"234",2018-05-04,"YH_B3",24.4166666666667,25,97.67
"235",2018-05-04,"YH_B4",62.9166666666667,90,69.91
"236",2018-05-04,"YH_B5",109.291666666667,113,96.72
"237",2018-05-04,"YH_B6",78.375,92,85.19
"238",2018-05-04,"YH_B7",17.75,18,98.61
"239",2018-05-05,"YH_B1",61.8333333333333,99,62.46
"240",2018-05-05,"YH_B2",131.333333333333,135,97.28
"241",2018-05-05,"YH_B3",24.7916666666667,25,99.17
"242",2018-05-05,"YH_B4",61.5416666666667,90,68.38
"243",2018-05-05,"YH_B5",110.375,113,97.68
"244",2018-05-05,"YH_B6",74.0833333333333,92,80.53
"245",2018-05-05,"YH_B7",17.75,18,98.61
"246",2018-05-06,"YH_B1",65.3333333333333,99,65.99
"247",2018-05-06,"YH_B2",131.666666666667,135,97.53
"248",2018-05-06,"YH_B3",24.875,25,99.5
"249",2018-05-06,"YH_B4",63.9583333333333,90,71.06
"250",2018-05-06,"YH_B5",108.291666666667,113,95.83
"251",2018-05-06,"YH_B6",78.25,92,85.05
