service_point_sn;block;room_type;adc;Grp;Lev;Prof;Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday;H00;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23
3004521658;PG_B2;HDB05;0.256939130434783;2;1;L1G2;214.4;243.708333333333;311.6;333.86;252.65306122449;223.857142857143;216.408163265306;7.86666666666667;4.48115942028986;3.20579710144928;2.35942028985507;2.34202898550725;2.67536231884058;13.968115942029;10.9652173913043;17.1826086956522;23.2550724637681;15.2202898550725;12.5275362318841;7.94202898550725;10.4115942028986;8.15942028985507;9.30144927536232;7.99710144927536;12.7797101449275;16.3246376811594;18.2057971014493;12.5478260869565;14.2173913043478;11.4666666666667;11.536231884058
3004521680;PG_B2;HDB05;0.595886956521739;1;2;L2G1;554.68;618.708333333333;546.26;669.48;571.632653061224;621.857142857143;589.408163265306;41.4985507246377;24.4028985507246;11.4405797101449;4.93333333333333;3.77971014492754;1.51014492753623;7.45217391304348;15.4463768115942;21.2405797101449;26.9652173913043;31.5420289855072;23.0492753623188;38.3623188405797;25.7304347826087;25.4521739130435;19.7333333333333;25.2753623188406;25.8173913043478;26.3130434782609;26.0492753623188;35.504347826087;37.5652173913044;50.6840579710145;46.2732558139535
3004521692;PG_B2;HDB05;0.755539130434783;1;2;L2G1;815.16;821.9375;747.44;827.4;740.69387755102;651.224489795918;683.755102040816;81.0724637681159;35.3246376811594;33.0115942028986;18.7913043478261;15.8985507246377;34.9623188405797;30.9130434782609;14.1971014492754;10.5449275362319;10.3159420289855;12.0057971014493;16.7072463768116;21.5275362318841;17.1101449275362;22.768115942029;22.0608695652174;39.7507246376812;38.4782608695652;43.5739130434783;37.6550724637681;49.0927536231884;40.6191860465116;52.8255813953488;56.7674418604651
3004521705;PG_B2;HDB05;0.156823699421965;2;1;L1G2;126.9;132.795918367347;260.02;192.38;119.530612244898;136.081632653061;127.836734693878;6.09537572254335;1.75942028985507;0.382608695652174;0.191304347826087;0.269565217391304;0.23768115942029;1.30724637681159;5.93333333333333;7.77971014492754;4.43768115942029;9.20058139534884;9.7703488372093;8.34593023255814;7.60579710144928;5.09855072463768;5.1536231884058;4.99710144927536;4.67536231884058;10.3072463768116;9.83478260869565;11.5623188405797;14.4521739130435;15.8202898550725;12.1217391304348
3004521715;PG_B2;HDB05;0.622385507246377;1;2;L2G1;657.78;819.3125;484.62;417.1;730.591836734694;577.081632653061;680.510204081633;20.2753623188406;11.4579710144928;8.27826086956522;4.84057971014493;1.66376811594203;1.48695652173913;1.8;18.295652173913;13.1652173913043;23.2;19.8724637681159;24.2144927536232;32.5072463768116;34.1304347826087;26.7623188405797;27.9275362318841;32.7594202898551;56.5565217391304;51.4;56.0666666666667;51.0115942028986;39.3449275362319;33.6869565217391;31.6811594202899
3004521729;PG_B2;HDB05;0.67611884057971;1;2;L2G1;640.2;699.395833333333;688.22;763.76;631.551020408163;656.69387755102;652.183673469388;17.0405797101449;6.89275362318841;2.71304347826087;2.11014492753623;1.6;1.9536231884058;14.3130434782609;50.0811594202899;62.2898550724638;46.5594202898551;40.7130434782609;26.104347826087;25.2086956521739;25.0173913043478;27.2666666666667;21.8434782608696;26.0753623188406;29.895652173913;37.2260869565217;47.0724637681159;27.1826086956522;38.1308139534884;64.6104651162791;34.6162790697674
3004521743;PG_B2;HDB05;0.499092753623188;2;1;L1G2;437.86;409.604166666667;664.78;606.76;455.020408163265;491.673469387755;421.795918367347;2.14492753623188;1.2463768115942;1.33913043478261;1.63188405797101;2.08985507246377;15.6289855072464;42.6376811594203;70.2869565217391;45.5523255813954;32.3275362318841;14.0726744186047;15.453488372093;16.3420289855072;20.5072463768116;18.2115942028985;13.263768115942;5.47536231884058;6.94782608695652;8.63478260869565;29.9304347826087;44.9536231884058;52.7536231884058;30.3478260869565;7.5304347826087
3004521757;PG_B2;HDB05;0.379527536231884;1;1;L1G1;386;360.9375;368.52;351.24;374.285714285714;422.061224489796;393.938775510204;37.6898550724638;22.4144927536232;7.90434782608696;3.43478260869565;2.01739130434783;1.73913043478261;2.94782608695652;14.0811594202899;29.4173913043478;19.6840579710145;22.1304347826087;16.8289855072464;13.3565217391304;16.5536231884058;15.4811594202899;15.1652173913043;13.2086956521739;15.5855072463768;18.9391304347826;12.0550724637681;10.7101449275362;8.24709302325581;25.6802325581395;34.453488372093
3004521770;PG_B2;HDB05;0.536391304347826;1;2;L2G1;525.86;659.875;522.4;543.82;528.448979591837;474.489795918367;502.714285714286;51.5188405797101;33.663768115942;19.8666666666667;1.70434782608696;0.608695652173913;6.12463768115942;10.8086956521739;14.4463768115942;12.8;11.9971014492754;7.85217391304348;4.81449275362319;6.33333333333333;11.2260869565217;11.6347826086957;15.2898550724638;16.2376811594203;20.4115942028986;35.3130434782609;37.831884057971;54.0579710144928;54.421511627907;64.875;32.9941860465116
3004521783;PG_B2;HDB05;0.505623188405797;2;2;L2G2;467.7;422.0625;694.06;600.88;444.734693877551;408.591836734694;494.612244897959;6.9304347826087;4.39420289855072;2.52463768115942;2.86376811594203;2.8231884057971;20.5333333333333;41.1275362318841;44.9275362318841;21.3855072463768;20.6376811594203;16.2521739130435;12.0724637681159;11.704347826087;14.3739130434783;12.031884057971;18.4231884057971;14.9246376811594;15.9971014492754;18.695652173913;32.3942028985507;51.6840579710145;61.5913043478261;37.2587209302326;20.2383720930233
3004521803;PG_B2;HDB05;0.889179710144928;1;2;L2G1;827.22;907.854166666667;902.56;1044.82;843.510204081633;846.530612244898;849.959183673469;78.7587209302326;49.7848837209302;24.9447674418605;15.9333333333333;10.9275362318841;10.8550724637681;19.1971014492754;40.7710144927536;90.3652173913043;63.8057971014493;17.9275362318841;15.7768115942029;20.0202898550725;15.4695652173913;18.936231884058;19.2985507246377;23.4463768115942;25.1855072463768;47.7739130434783;51.4840579710145;50.6;43.768115942029;60.6057971014493;74.4198250728863
3004521824;PG_B2;HDB05;0.798840579710145;1;2;L2G1;838.2;836.270833333333;704.46;757.92;822.714285714286;819.551020408163;815.489795918367;15.1652173913043;9.11304347826087;9.07246376811594;6.8231884057971;4.86666666666667;4.66666666666667;10.9420289855072;50.8811594202899;65.2732558139535;76.1101449275362;62.1366279069767;36.8081395348837;27.7884057971015;41.7304347826087;31.4898550724638;28.0289855072464;31.3913043478261;35.5739130434783;47.3188405797101;47.2347826086957;39.4057971014493;54.5652173913044;37.8347826086957;25.095652173913
3004521852;PG_B2;HDB05;0.317182608695652;1;2;L2G1;314.6;328.229166666667;299.3;324.74;311.612244897959;311.551020408163;330.734693877551;22.0927536231884;13.9420289855072;8.27246376811594;6.39130434782609;3.95652173913043;4.80869565217391;8.50724637681159;43.8898550724638;31;12.631884057971;7.92173913043478;7.4231884057971;4.68695652173913;6.03478260869565;4.89275362318841;8.90144927536232;7.70434782608696;9.35942028985507;11.8343023255814;14.6279069767442;10.4389534883721;15.9186046511628;19.8081395348837;32.4418604651163
3004521867;PG_B2;HDB05;0.350660869565217;2;1;L1G2;354.56;296;473.8;449.7;297.469387755102;295.163265306122;282.204081632653;2.33333333333333;1.75652173913043;1.90144927536232;1.74202898550725;5.2;30.0115942028986;36.6;52.4202898550725;25.5304347826087;14.3217391304348;4.5304347826087;4.22898550724638;3.83768115942029;6.79710144927536;6.47246376811594;10.0086956521739;4.76521739130435;9.32753623188406;11.4550724637681;18.2753623188406;44.2086956521739;30.8347826086957;13.5901162790698;10.5813953488372
3004521898;PG_B2;HDB05;0.498881502890173;1;2;L2G1;469.08;489.367346938775;456.9;482.56;556.816326530612;542.775510204082;496.469387755102;24.5606936416185;6.38550724637681;1.42608695652174;0.452173913043478;0.657971014492754;0.730434782608696;1.38840579710145;1.43188405797101;14.2347826086957;47.0811594202899;53.5494186046512;34.5174418604651;21.7238372093023;17.8173913043478;20.5246376811594;14.5913043478261;14.1594202898551;12.9275362318841;27.2579710144928;30.2695652173913;26.8434782608696;25.031884057971;48.8289855072464;54.1826086956522
3004521931;PG_B2;HDB05;1.05987246376812;1;2;L2G1;1059.84;1087.04166666667;1019.92;1091.74;1073.08163265306;1050.67346938776;1037.5306122449;23.4666666666667;13.4086956521739;5.05507246376812;6.02028985507246;3.91014492753623;5.36231884057971;21.7507246376812;58.4144927536232;40.2231884057971;56.1478260869565;77.5507246376812;88.4695652173913;75.1768115942029;63.9391304347826;40.1101449275362;61.4579710144928;40.1072463768116;42.1478260869565;45.5536231884058;65.0144927536232;75.0608695652174;64.304347826087;41.2296511627907;46.2441860465116
3004521954;PG_B2;HDB05;0.259713043478261;1;1;L1G1;249.7;247.958333333333;248.98;251.66;253.938775510204;290.816326530612;275.285714285714;3.87246376811594;2.42898550724638;1.78260869565217;1.91884057971014;1.39710144927536;1.73623188405797;10.5391304347826;22.2376811594203;17.5130434782609;10.095652173913;12.1565217391304;10.7130434782609;10.6289855072464;13.7391304347826;18.0463768115942;14.7333333333333;17.9246376811594;12.4608695652174;15.7739130434783;15.9623188405797;16.3797101449275;11.2994186046512;10.9302325581395;5.52325581395349
3004521979;PG_B2;HDB05;0.453852173913043;2;2;L2G2;437.02;424.25;423.74;469.76;504.387755102041;463.34693877551;454.489795918367;22.168115942029;14.6231884057971;8.11304347826087;6.11304347826087;4.59420289855072;7.57971014492754;8.8463768115942;23.6782608695652;30.2376811594203;21.2869565217391;21.2753623188406;17.0579710144928;19.1304347826087;19.9913043478261;15.8;14.2057971014493;13.0434782608696;12.7188405797101;16.7014492753623;20.3246376811594;36.7971014492754;33.0724637681159;33.663768115942;32.9244186046512
3004521999;PG_B2;HDB05;0.290423188405797;1;1;L1G1;329.26;285.8125;293.26;302.28;272.489795918367;261.244897959184;287.428571428571;30.3710144927536;9.7536231884058;2.39420289855072;0.721739130434783;0.594202898550725;1.02898550724638;11.0985507246377;39.5826086956522;24.1366279069767;19.7913043478261;12.4796511627907;5.53197674418605;3.31594202898551;3.88985507246377;3.51304347826087;2.5536231884058;2.16521739130435;4.75072463768116;4.77391304347826;5.22028985507246;5.51594202898551;11.6695652173913;34.3217391304348;51.3710144927536
3004522014;PG_B2;HDB05;0.156939130434783;2;1;L1G2;161.14;152.208333333333;175.5;149.84;171.612244897959;116.979591836735;170.877551020408;3.73913043478261;1.63188405797101;1.43188405797101;1.06666666666667;0.626086956521739;1.04347826086957;1.55072463768116;4.10724637681159;11.0434782608696;16.6608695652174;17.4811594202899;12.0115942028986;4.08405797101449;6.14202898550725;5.57971014492754;6.06086956521739;4.42608695652174;7.37391304347826;10.0985507246377;11.8695652173913;9.4;6.39420289855072;7.37101449275362;5.74492753623188
